recipe_id,step_id,order,text
recipe_puran_poli,step1,1,"Wash and soak chana dal for 2–3 hours, then pressure cook until soft but not mushy."
recipe_puran_poli,step10,10,"Heat a tawa on medium flame, place the rolled poli and cook until light brown spots appear."
recipe_puran_poli,step11,11,Apply ghee on both sides and cook until golden and slightly crisp.</>
recipe_puran_poli,step12,12,Serve hot Puran Poli with extra ghee or warm milk.
recipe_puran_poli,step2,2,"Drain excess water, add grated jaggery to the hot dal and cook on low heat until jaggery melts and mixture thickens."
recipe_puran_poli,step3,3,"Add cardamom powder and nutmeg powder, mix well and let the puran filling cool completely."
recipe_puran_poli,step4,4,"In a mixing bowl, combine wheat flour, maida (optional), turmeric, salt and oil. Add water gradually and knead a soft, smooth dough."
recipe_puran_poli,step5,5,Cover the dough with a damp cloth and rest for at least 20–30 minutes.
recipe_puran_poli,step6,6,Divide the cooled puran filling into equal lemon-sized balls.
recipe_puran_poli,step7,7,Divide the dough into slightly smaller balls than the puran balls.
recipe_puran_poli,step8,8,"Flatten a dough ball, place a puran ball in the center and gently seal the edges to cover the filling completely."
recipe_puran_poli,step9,9,Dust with dry flour and gently roll into a medium-thick disc (poli) without tearing.
